param,estimate,rses,rsesColor,rsesColorCounts,AIC,CorrelationsYellow,CorrelationsOrange,CorrelationsRed,Run,Description
a,0.595259606,8.035959152,NA,Red= 1,498.29,delta - log10pT0,NA - NA,NA - NA,0A,Fit all prms
c_pop,1.273557426,170.1672185,Orange,Orange= 3,498.29,c - tstart,NA,NA,0A,Fit all prms
delta_pop,0.169411221,44.27496186,NA,Yellow= 2,498.29,NA,NA,NA,0A,Fit all prms
log10beta_pop,-3.821982439,-13.27080198,NA,NA,498.29,NA,NA,NA,0A,Fit all prms
log10pT0_pop,5.063831883,13.74870592,NA,NA,498.29,NA,NA,NA,0A,Fit all prms
omega_c,1.913858835,96.26802767,Yellow,NA,498.29,NA,NA,NA,0A,Fit all prms
omega_delta,1.14155518,64.20358168,Yellow,NA,498.29,NA,NA,NA,0A,Fit all prms
omega_log10beta,0.451373456,313.0853921,Red,NA,498.29,NA,NA,NA,0A,Fit all prms
omega_log10pT0,0.755281634,128.6059828,Orange,NA,498.29,NA,NA,NA,0A,Fit all prms
omega_tstart,0.605251926,112.1668421,Orange,NA,498.29,NA,NA,NA,0A,Fit all prms
tstart_pop,4.469686651,31.28565211,NA,NA,498.29,NA,NA,NA,0A,Fit all prms
a,0.605308872,8.240710757,NA,Red= 0,506.26,log10beta - tstart,delta - c,NA - NA,0B,Fit all prms
c_pop,39.94951471,NA,NA,Orange= 0,506.26,NA,NA,NA,0B,Fit all prms
delta_pop,0.099787021,63.15607627,Yellow,Yellow= 4,506.26,NA,NA,NA,0B,Fit all prms
log10beta_pop,-4.009043276,-5.74433101,NA,NA,506.26,NA,NA,NA,0B,Fit all prms
log10pT0_pop,6.281925857,8.439800257,NA,NA,506.26,NA,NA,NA,0B,Fit all prms
omega_c,2.1027117,87.86655177,Yellow,NA,506.26,NA,NA,NA,0B,Fit all prms
omega_delta,1.697886774,46.95868471,NA,NA,506.26,NA,NA,NA,0B,Fit all prms
omega_log10beta,0.548385966,73.93974197,Yellow,NA,506.26,NA,NA,NA,0B,Fit all prms
omega_log10pT0,0.933361869,27.63552938,NA,NA,506.26,NA,NA,NA,0B,Fit all prms
omega_tstart,0.206652251,56.25555094,Yellow,NA,506.26,NA,NA,NA,0B,Fit all prms
tstart_pop,5.176159812,18.8911738,NA,NA,506.26,NA,NA,NA,0B,Fit all prms
a,0.597950324,7.396334836,NA,Red= 0,511.83,delta - log10pT0,NA - NA,NA - NA,0C,Fit all prms
c_pop,22.64388853,102.3068625,Orange,Orange= 4,511.83,log10pT0 - log10beta,NA,NA,0C,Fit all prms
