,param,estimate,rses,rsesColor,rsesColorCounts,AIC,CorrelationsYellow,CorrelationsOrange,CorrelationsRed,Run,Description,delta,log10pT0,c,log10beta,tstart,V1...19,V1...20,V2
1,a,0.617873098,58.71137412,Yellow,Red= 0,467.75,NA - NA,NA - NA,NA - NA,12E,"c=3+re, Dynamics=cat cov log10pT0E",NA,Yes,NA,NA,NA,3,NA,NA
2,beta_log10pT0_Dynamics_Rebound,-1.881443606,-11.82977406,NA,Orange= 1,467.75,NA,NA,NA,12E,"c=3+re, Dynamics=cat cov log10pT0E",NA,Yes,NA,NA,NA,3,NA,NA
3,delta_pop,0.118100591,39.27356734,NA,Yellow= 1,467.75,NA,NA,NA,12E,"c=3+re, Dynamics=cat cov log10pT0E",NA,Yes,NA,NA,NA,3,NA,NA
4,log10beta_pop,-3.770115178,4.538927647,NA,NA,467.75,NA,NA,NA,12E,"c=3+re, Dynamics=cat cov log10pT0E",NA,Yes,NA,NA,NA,3,NA,NA
5,log10pT0_pop,6.229760102,3.286919267,NA,NA,467.75,NA,NA,NA,12E,"c=3+re, Dynamics=cat cov log10pT0E",NA,Yes,NA,NA,NA,3,NA,NA
6,omega_c,1.182190515,185.4128102,Orange,NA,467.75,NA,NA,NA,12E,"c=3+re, Dynamics=cat cov log10pT0E",NA,Yes,NA,NA,NA,3,NA,NA
7,omega_delta,1.319587257,6.855276875,NA,NA,467.75,NA,NA,NA,12E,"c=3+re, Dynamics=cat cov log10pT0E",NA,Yes,NA,NA,NA,3,NA,NA
8,omega_log10beta,0.307024695,11.16415811,NA,NA,467.75,NA,NA,NA,12E,"c=3+re, Dynamics=cat cov log10pT0E",NA,Yes,NA,NA,NA,3,NA,NA
9,omega_log10pT0,0.217327031,9.022588206,NA,NA,467.75,NA,NA,NA,12E,"c=3+re, Dynamics=cat cov log10pT0E",NA,Yes,NA,NA,NA,3,NA,NA
10,omega_tstart,0.073860041,13.97246637,NA,NA,467.75,NA,NA,NA,12E,"c=3+re, Dynamics=cat cov log10pT0E",NA,Yes,NA,NA,NA,3,NA,NA
11,tstart_pop,5.861375768,-9.78406378,NA,NA,467.75,NA,NA,NA,12E,"c=3+re, Dynamics=cat cov log10pT0E",NA,Yes,NA,NA,NA,3,NA,NA
12,a,0.614554204,70.5717234,Yellow,Red= 1,468.73,NA - NA,NA - NA,c - log10beta,32A,"c=12+re, Dynamics=cat cov log10pT0A",NA,Yes,NA,NA,NA,12,NA,NA
13,beta_log10pT0_Dynamics_Rebound,-1.963395187,-16.55182322,NA,Orange= 0,468.73,NA,NA,NA,32A,"c=12+re, Dynamics=cat cov log10pT0A",NA,Yes,NA,NA,NA,12,NA,NA
14,delta_pop,0.103991836,46.63754338,NA,Yellow= 1,468.73,NA,NA,NA,32A,"c=12+re, Dynamics=cat cov log10pT0A",NA,Yes,NA,NA,NA,12,NA,NA
15,log10beta_pop,-3.769517703,1.361351451,NA,NA,468.73,NA,NA,NA,32A,"c=12+re, Dynamics=cat cov log10pT0A",NA,Yes,NA,NA,NA,12,NA,NA
16,log10pT0_pop,6.695108593,4.12791049,NA,NA,468.73,NA,NA,NA,32A,"c=12+re, Dynamics=cat cov log10pT0A",NA,Yes,NA,NA,NA,12,NA,NA
17,omega_c,1.629668788,276.0188453,Red,NA,468.73,NA,NA,NA,32A,"c=12+re, Dynamics=cat cov log10pT0A",NA,Yes,NA,NA,NA,12,NA,NA
18,omega_delta,1.200957509,11.15795464,NA,NA,468.73,NA,NA,NA,32A,"c=12+re, Dynamics=cat cov log10pT0A",NA,Yes,NA,NA,NA,12,NA,NA
19,omega_log10beta,0.262703778,11.7580459,NA,NA,468.73,NA,NA,NA,32A,"c=12+re, Dynamics=cat cov log10pT0A",NA,Yes,NA,NA,NA,12,NA,NA
20,omega_log10pT0,0.213577561,18.71502861,NA,NA,468.73,NA,NA,NA,32A,"c=12+re, Dynamics=cat cov log10pT0A",NA,Yes,NA,NA,NA,12,NA,NA
21,omega_tstart,0.061904405,34.18715092,NA,NA,468.73,NA,NA,NA,32A,"c=12+re, Dynamics=cat cov log10pT0A",NA,Yes,NA,NA,NA,12,NA,NA
22,tstart_pop,6.180147167,-19.23731807,NA,NA,468.73,NA,NA,NA,32A,"c=12+re, Dynamics=cat cov log10pT0A",NA,Yes,NA,NA,NA,12,NA,NA
23,a,0.600979471,4.480568303,NA,Red= 1,465.77,NA - NA,NA - NA,c - log10beta,36DC1,"c=12+re, Dynamics= cat cov  delta,log10pT0, D, corr: c-log10beta",Yes,Yes,NA,NA,NA,12,c,log10beta
24,beta_delta_Dynamics_Rebound,0.946585835,62.83965576,Yellow,Orange= 0,465.77,NA,NA,NA,36DC1,"c=12+re, Dynamics= cat cov  delta,log10pT0, D, corr: c-log10beta",Yes,Yes,NA,NA,NA,12,c,log10beta
25,beta_log10pT0_Dynamics_Rebound,-1.473184538,-17.6010141,NA,Yellow= 3,465.77,NA,NA,NA,36DC1,"c=12+re, Dynamics= cat cov  delta,log10pT0, D, corr: c-log10beta",Yes,Yes,NA,NA,NA,12,c,log10beta
26,corr_log10beta_c,0.902093746,6.086937712,NA,NA,465.77,NA,NA,NA,36DC1,"c=12+re, Dynamics= cat cov  delta,log10pT0, D, corr: c-log10beta",Yes,Yes,NA,NA,NA,12,c,log10beta
27,delta_pop,0.072409415,50.77955381,Yellow,NA,465.77,NA,NA,NA,36DC1,"c=12+re, Dynamics= cat cov  delta,log10pT0, D, corr: c-log10beta",Yes,Yes,NA,NA,NA,12,c,log10beta
28,log10beta_pop,-4.087159827,1.03574442,NA,NA,465.77,NA,NA,NA,36DC1,"c=12+re, Dynamics= cat cov  delta,log10pT0, D, corr: c-log10beta",Yes,Yes,NA,NA,NA,12,c,log10beta
29,log10pT0_pop,6.435626429,3.738127668,NA,NA,465.77,NA,NA,NA,36DC1,"c=12+re, Dynamics= cat cov  delta,log10pT0, D, corr: c-log10beta",Yes,Yes,NA,NA,NA,12,c,log10beta
30,omega_c,2.116326028,247.5521163,Red,NA,465.77,NA,NA,NA,36DC1,"c=12+re, Dynamics= cat cov  delta,log10pT0, D, corr: c-log10beta",Yes,Yes,NA,NA,NA,12,c,log10beta
31,omega_delta,0.783817342,4.836422821,NA,NA,465.77,NA,NA,NA,36DC1,"c=12+re, Dynamics= cat cov  delta,log10pT0, D, corr: c-log10beta",Yes,Yes,NA,NA,NA,12,c,log10beta
32,omega_log10beta,0.562493145,30.07620826,NA,NA,465.77,NA,NA,NA,36DC1,"c=12+re, Dynamics= cat cov  delta,log10pT0, D, corr: c-log10beta",Yes,Yes,NA,NA,NA,12,c,log10beta
33,omega_log10pT0,0.231233869,14.11009943,NA,NA,465.77,NA,NA,NA,36DC1,"c=12+re, Dynamics= cat cov  delta,log10pT0, D, corr: c-log10beta",Yes,Yes,NA,NA,NA,12,c,log10beta
34,omega_tstart,0.106738478,53.48410165,Yellow,NA,465.77,NA,NA,NA,36DC1,"c=12+re, Dynamics= cat cov  delta,log10pT0, D, corr: c-log10beta",Yes,Yes,NA,NA,NA,12,c,log10beta
35,tstart_pop,5.08237099,-14.38981004,NA,NA,465.77,NA,NA,NA,36DC1,"c=12+re, Dynamics= cat cov  delta,log10pT0, D, corr: c-log10beta",Yes,Yes,NA,NA,NA,12,c,log10beta
36,a,0.596695305,4.968165518,NA,Red= 1,466.3,NA - NA,NA - NA,c - log10beta,32EC1,"c=12+re, Dynamics= cat cov  log10pT0, E, corr: c-log10beta",NA,Yes,NA,NA,NA,12,c,log10beta
37,beta_log10pT0_Dynamics_Rebound,-1.643311241,-19.88472812,NA,Orange= 1,466.3,NA,NA,NA,32EC1,"c=12+re, Dynamics= cat cov  log10pT0, E, corr: c-log10beta",NA,Yes,NA,NA,NA,12,c,log10beta
